TAME ID, Legacy TAME ID, Site Name
F3D8D9797FE758BFE0438DC611AC8552,30361818,TAME Site 30361818 on link A5 northbound between A460 and M6; GPS Ref: 396020;309336; Northbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Average Speed in MPH, Cat 1 Speed Count, Cat 2 Speed Count, Cat 3 Speed Count, Cat 4 Speed Count, Cat 5 Speed Count, Cat 6 Speed Count, Cat 7 Speed Count, Cat 8 Speed Count, Cat 9 Speed Count, Cat 10 Speed Count, Cat 11 Speed Count, Cat 12 Speed Count, Cat 13 Speed Count, Cat 14 Speed Count, Cat speed counts included flag, Quality Index, Network Link Id, NTIS Model Version
2018-05-08,08:14:00,0,245,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,08:29:00,0,224,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,08:44:00,0,216,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,08:59:00,0,194,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,09:14:00,0,136,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,09:29:00,0,146,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,09:44:00,0,164,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,09:59:00,0,144,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,10:14:00,0,129,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,10:29:00,0,127,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,10:44:00,0,148,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,10:59:00,0,123,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,11:14:00,0,154,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,11:29:00,0,140,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,11:44:00,0,142,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,11:59:00,0,159,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,12:14:00,0,147,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,12:29:00,0,167,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,12:44:00,0,153,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,12:59:00,0,152,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,13:14:00,0,135,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,13:29:00,0,135,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,13:44:00,0,159,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,13:59:00,0,133,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,14:14:00,0,130,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,14:29:00,0,136,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,14:44:00,0,158,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,14:59:00,0,160,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,15:14:00,0,144,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,15:29:00,0,169,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,15:44:00,0,147,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,15:59:00,0,175,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,16:14:00,0,209,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,16:29:00,0,199,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,16:44:00,0,224,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,16:59:00,0,225,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
2018-05-08,17:14:00,0,235,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15,199020801,8
